pr,rc,threshold
Atelectasis,0.0885,1.0,0.0005322551
Atelectasis,0.08854427213606804,1.0,0.001559661
Atelectasis,0.08858858858858859,1.0,0.00174119
Atelectasis,0.0886329494241362,1.0,0.0022365942
Atelectasis,0.08867735470941884,1.0,0.0023257914
Atelectasis,0.0887218045112782,1.0,0.0024372323
Atelectasis,0.08876629889669008,1.0,0.0026052915
Atelectasis,0.08881083793276467,1.0,0.0026609353
Atelectasis,0.08885542168674698,1.0,0.0027950977
Atelectasis,0.08890005022601707,1.0,0.0028787493
Atelectasis,0.08894472361809046,1.0,0.002993288
Atelectasis,0.0889894419306184,1.0,0.0031697834
Atelectasis,0.08903420523138833,1.0,0.0032856038
Atelectasis,0.08907901358832411,1.0,0.003421739
Atelectasis,0.0891238670694864,1.0,0.0036268563
Atelectasis,0.08916876574307304,1.0,0.00375539
Atelectasis,0.08921370967741936,1.0,0.0038055647
Atelectasis,0.08925869894099848,1.0,0.003921006
Atelectasis,0.08930373360242179,1.0,0.0039562723
Atelectasis,0.08934881373043917,1.0,0.0039733816
Atelectasis,0.0893939393939394,1.0,0.0042328658
Atelectasis,0.08943911066195048,1.0,0.0044503463
Atelectasis,0.08948432760364004,1.0,0.004611266
Atelectasis,0.08952959028831563,1.0,0.004909069
Atelectasis,0.0895748987854251,1.0,0.004921253
Atelectasis,0.08962025316455696,1.0,0.0049283733
Atelectasis,0.08966565349544073,1.0,0.0049877856
Atelectasis,0.08971109984794728,1.0,0.0050193924
Atelectasis,0.08975659229208925,1.0,0.005050695
Atelectasis,0.0898021308980213,1.0,0.0050762175
Atelectasis,0.08984771573604061,1.0,0.0051464215
Atelectasis,0.0898933468765871,1.0,0.005177654
Atelectasis,0.0899390243902439,1.0,0.0052759713
Atelectasis,0.08998474834773768,1.0,0.0053248964
Atelectasis,0.09003051881993897,1.0,0.005336175
Atelectasis,0.0900763358778626,1.0,0.0053905495
Atelectasis,0.09012219959266803,1.0,0.005394022
Atelectasis,0.09016811003565971,1.0,0.005408173
Atelectasis,0.09021406727828746,1.0,0.005514259
Atelectasis,0.09026007139214687,1.0,0.0056225327
Atelectasis,0.09030612244897959,1.0,0.005680503
Atelectasis,0.0903522205206738,1.0,0.005738784
Atelectasis,0.09039836567926456,1.0,0.0058104494
Atelectasis,0.09044455799693409,1.0,0.0058821756
Atelectasis,0.08997955010224949,0.9943502824858758,0.0059439647
Atelectasis,0.09002557544757034,0.9943502824858758,0.0059912587
Atelectasis,0.09007164790174002,0.9943502824858758,0.006028887
Atelectasis,0.09011776753712238,0.9943502824858758,0.006255217
Atelectasis,0.08965163934426229,0.9887005649717514,0.0063084555
Atelectasis,0.08969759097898514,0.9887005649717514,0.0065436694
Atelectasis,0.08974358974358974,0.9887005649717514,0.0066679465
Atelectasis,0.08978963571062083,0.9887005649717514,0.0066723377
Atelectasis,0.08983572895277207,0.9887005649717514,0.006697999
Atelectasis,0.08936825885978428,0.9830508474576272,0.006816475
Atelectasis,0.08941418293936279,0.9830508474576272,0.0068289437
Atelectasis,0.08946015424164525,0.9830508474576272,0.006961907
Atelectasis,0.08950617283950617,0.9830508474576272,0.0070314254
Atelectasis,0.08955223880597014,0.9830508474576272,0.007040087
Atelectasis,0.08959835221421215,0.9830508474576272,0.007055174
Atelectasis,0.08964451313755796,0.9830508474576272,0.0071082744
Atelectasis,0.08969072164948454,0.9830508474576272,0.007192659
Atelectasis,0.08973697782362042,0.9830508474576272,0.0072361557
Atelectasis,0.08978328173374613,0.9830508474576272,0.0074056387
Atelectasis,0.08982963345379452,0.9830508474576272,0.0074863327
Atelectasis,0.08987603305785125,0.9830508474576272,0.007514123
Atelectasis,0.08992248062015504,0.9830508474576272,0.007571033
Atelectasis,0.08996897621509824,0.9830508474576272,0.007588718
Atelectasis,0.0900155199172271,0.9830508474576272,0.007706055
Atelectasis,0.09006211180124224,0.9830508474576272,0.007743482
Atelectasis,0.09010875194199897,0.9830508474576272,0.0077640614
Atelectasis,0.09015544041450778,0.9830508474576272,0.007780874
Atelectasis,0.09020217729393468,0.9830508474576272,0.007830257
Atelectasis,0.09024896265560166,0.9830508474576272,0.007889237
Atelectasis,0.09029579657498703,0.9830508474576272,0.00789613
Atelectasis,0.09034267912772585,0.9830508474576272,0.007903391
Atelectasis,0.0903896103896104,0.9830508474576272,0.007908879
Atelectasis,0.09043659043659044,0.9830508474576272,0.008010979
Atelectasis,0.0904836193447738,0.9830508474576272,0.00813393
Atelectasis,0.09053069719042664,0.9830508474576272,0.008231221
Atelectasis,0.09057782404997397,0.9830508474576272,0.008253419
Atelectasis,0.090625,0.9830508474576272,0.0082814265
Atelectasis,0.09067222511724857,0.9830508474576272,0.008328129
Atelectasis,0.09071949947862357,0.9830508474576272,0.008333156
Atelectasis,0.09076682316118936,0.9830508474576272,0.008335289
Atelectasis,0.09081419624217119,0.9830508474576272,0.008354569
Atelectasis,0.09086161879895562,0.9830508474576272,0.008360639
Atelectasis,0.09090909090909091,0.9830508474576272,0.008381199
Atelectasis,0.09095661265028751,0.9830508474576272,0.008404551
Atelectasis,0.09100418410041841,0.9830508474576272,0.008623208
Atelectasis,0.09105180533751962,0.9830508474576272,0.008659356
Atelectasis,0.09109947643979058,0.9830508474576272,0.008682707
Atelectasis,0.09114719748559455,0.9830508474576272,0.008695889
Atelectasis,0.09119496855345911,0.9830508474576272,0.008806319
Atelectasis,0.09124278972207656,0.9830508474576272,0.008913051
Atelectasis,0.0912906610703043,0.9830508474576272,0.008941698
Atelectasis,0.09133858267716535,0.9830508474576272,0.008967969
Atelectasis,0.09138655462184873,0.9830508474576272,0.008990194
Atelectasis,0.09143457698370994,0.9830508474576272,0.009034588
Atelectasis,0.0914826498422713,0.9830508474576272,0.009042231
Atelectasis,0.09153077327722252,0.9830508474576272,0.009267112
Atelectasis,0.09157894736842105,0.9830508474576272,0.009271477
Atelectasis,0.09162717219589257,0.9830508474576272,0.0093129715
Atelectasis,0.0916754478398314,0.9830508474576272,0.009314099
Atelectasis,0.09172377438060095,0.9830508474576272,0.009318034
Atelectasis,0.09177215189873418,0.9830508474576272,0.009363231
Atelectasis,0.09182058047493404,0.9830508474576272,0.009400532
Atelectasis,0.09186906019007392,0.9830508474576272,0.009426597
Atelectasis,0.0919175911251981,0.9830508474576272,0.009437458
Atelectasis,0.0919661733615222,0.9830508474576272,0.009449918
Atelectasis,0.09201480698043363,0.9830508474576272,0.00949712
