pr,rc,threshold
Atelectasis,0.0885,1.0,0.44974288
Atelectasis,0.08854427213606804,1.0,0.4540258
Atelectasis,0.08858858858858859,1.0,0.45640084
Atelectasis,0.0886329494241362,1.0,0.45699912
Atelectasis,0.08867735470941884,1.0,0.4576837
Atelectasis,0.0887218045112782,1.0,0.4581084
Atelectasis,0.08876629889669008,1.0,0.4589713
Atelectasis,0.08881083793276467,1.0,0.4592203
Atelectasis,0.08885542168674698,1.0,0.45981207
Atelectasis,0.08890005022601707,1.0,0.46023482
Atelectasis,0.08894472361809046,1.0,0.46060798
Atelectasis,0.0889894419306184,1.0,0.46070945
Atelectasis,0.08903420523138833,1.0,0.46152982
Atelectasis,0.08907901358832411,1.0,0.4615542
Atelectasis,0.0891238670694864,1.0,0.46180764
Atelectasis,0.08916876574307304,1.0,0.46192607
Atelectasis,0.08921370967741936,1.0,0.46244907
Atelectasis,0.08925869894099848,1.0,0.46272385
Atelectasis,0.08930373360242179,1.0,0.46304294
Atelectasis,0.08934881373043917,1.0,0.46364364
Atelectasis,0.0893939393939394,1.0,0.4641848
Atelectasis,0.08943911066195048,1.0,0.46471676
Atelectasis,0.08948432760364004,1.0,0.46531302
Atelectasis,0.08952959028831563,1.0,0.46549773
Atelectasis,0.0895748987854251,1.0,0.46619287
Atelectasis,0.08962025316455696,1.0,0.46635172
Atelectasis,0.08966565349544073,1.0,0.46769062
Atelectasis,0.08971109984794728,1.0,0.4683834
Atelectasis,0.08975659229208925,1.0,0.4686898
Atelectasis,0.0898021308980213,1.0,0.4691821
Atelectasis,0.08984771573604061,1.0,0.46937764
Atelectasis,0.0898933468765871,1.0,0.46977922
Atelectasis,0.08943089430894309,0.9943502824858758,0.46978918
Atelectasis,0.08947635993899339,0.9943502824858758,0.46984938
Atelectasis,0.08952187182095625,0.9943502824858758,0.47003683
Atelectasis,0.08956743002544529,0.9943502824858758,0.47007453
Atelectasis,0.08961303462321792,0.9943502824858758,0.47008702
Atelectasis,0.08965868568517575,0.9943502824858758,0.4704747
Atelectasis,0.08970438328236494,0.9943502824858758,0.47096035
Atelectasis,0.08975012748597654,0.9943502824858758,0.4712455
Atelectasis,0.08979591836734693,0.9943502824858758,0.4715065
Atelectasis,0.08984175599795814,0.9943502824858758,0.4717428
Atelectasis,0.0898876404494382,0.9943502824858758,0.47192678
Atelectasis,0.08993357179356157,0.9943502824858758,0.47215587
Atelectasis,0.08997955010224949,0.9943502824858758,0.47240868
Atelectasis,0.09002557544757034,0.9943502824858758,0.4724291
Atelectasis,0.09007164790174002,0.9943502824858758,0.47278634
Atelectasis,0.09011776753712238,0.9943502824858758,0.47287485
Atelectasis,0.09016393442622951,0.9943502824858758,0.4730149
Atelectasis,0.0902101486417222,0.9943502824858758,0.47313938
Atelectasis,0.09025641025641026,0.9943502824858758,0.47347695
Atelectasis,0.09030271934325294,0.9943502824858758,0.47359896
Atelectasis,0.09034907597535935,0.9943502824858758,0.4736508
Atelectasis,0.0903954802259887,0.9943502824858758,0.47375333
Atelectasis,0.09044193216855087,0.9943502824858758,0.47375792
Atelectasis,0.09048843187660668,0.9943502824858758,0.47384635
Atelectasis,0.09053497942386832,0.9943502824858758,0.47398117
Atelectasis,0.0905815748841997,0.9943502824858758,0.47406673
