pr,rc,threshold
Atelectasis,0.45511111111111113,1.0,0.015914217
Atelectasis,0.45498999777728383,0.99951171875,0.018775329
Atelectasis,0.45509115162294356,0.99951171875,0.021302504
Atelectasis,0.4551923504558595,0.99951171875,0.022680229
Atelectasis,0.4552935943060498,0.99951171875,0.023012007
Atelectasis,0.45539488320355953,0.99951171875,0.023787854
Atelectasis,0.45549621717846017,0.99951171875,0.024111245
Atelectasis,0.4555975962608502,0.99951171875,0.024139725
Atelectasis,0.45569902048085487,0.99951171875,0.024847511
Atelectasis,0.45580048986862615,0.99951171875,0.024970803
Atelectasis,0.455902004454343,0.99951171875,0.025440957
Atelectasis,0.45578079750501227,0.9990234375,0.02596694
Atelectasis,0.4556595365418895,0.99853515625,0.02632751
Atelectasis,0.4557610875863606,0.99853515625,0.026609581
Atelectasis,0.45586268390548373,0.99853515625,0.027041811
Atelectasis,0.4557413600891862,0.998046875,0.027172089
Atelectasis,0.455842997323818,0.998046875,0.027232008
Atelectasis,0.45594467990185145,0.998046875,0.0272611
Atelectasis,0.45604640785363676,0.998046875,0.027603755
Atelectasis,0.45592501673733543,0.99755859375,0.02786785
Atelectasis,0.45602678571428573,0.99755859375,0.028056353
Atelectasis,0.45612860013395845,0.99755859375,0.028085712
Atelectasis,0.4562304600267977,0.99755859375,0.028290687
Atelectasis,0.456109001563547,0.9970703125,0.028313233
Atelectasis,0.4559874888293119,0.99658203125,0.02836795
Atelectasis,0.45608938547486033,0.99658203125,0.02858865
Atelectasis,0.4561913276709879,0.99658203125,0.02858891
Atelectasis,0.45629331544824503,0.99658203125,0.028711585
Atelectasis,0.4563953488372093,0.99658203125,0.03026274
Atelectasis,0.45627376425855515,0.99609375,0.030371176
Atelectasis,0.45615212527964205,0.99560546875,0.030470997
Atelectasis,0.45603043186395165,0.9951171875,0.03078429
Atelectasis,0.45613249776186215,0.9951171875,0.030830279
Atelectasis,0.45623460935751065,0.9951171875,0.030969758
Atelectasis,0.4563367666815943,0.9951171875,0.031721745
Atelectasis,0.4564389697648376,0.9951171875,0.0319874
Atelectasis,0.45654121863799285,0.9951171875,0.032117713
Atelectasis,0.45664351333183956,0.9951171875,0.032339983
Atelectasis,0.45652173913043476,0.99462890625,0.032745987
Atelectasis,0.4566240753194351,0.99462890625,0.032856405
Atelectasis,0.4567264573991031,0.99462890625,0.03287667
Atelectasis,0.456604619869926,0.994140625,0.033004772
Atelectasis,0.4567070435172723,0.994140625,0.03330069
Atelectasis,0.4565851469598385,0.99365234375,0.033306427
Atelectasis,0.45668761220825854,0.99365234375,0.034262486
Atelectasis,0.4567901234567901,0.99365234375,0.03432422
Atelectasis,0.4568926807364167,0.99365234375,0.03432831
Atelectasis,0.45699528407814954,0.99365234375,0.034385484
Atelectasis,0.45709793351302785,0.99365234375,0.034460317
Atelectasis,0.4572006290721186,0.99365234375,0.0345154
Atelectasis,0.45730337078651684,0.99365234375,0.034782052
Atelectasis,0.45740615868734547,0.99365234375,0.034793295
Atelectasis,0.4572841726618705,0.9931640625,0.03487249
Atelectasis,0.4573870024735777,0.9931640625,0.03517297
Atelectasis,0.45726495726495725,0.99267578125,0.035224747
Atelectasis,0.45736782902137235,0.99267578125,0.03578975
Atelectasis,0.45724572457245727,0.9921875,0.03587298
Atelectasis,0.4571235651586766,0.99169921875,0.03610929
Atelectasis,0.45722647456100857,0.99169921875,0.03649082
Atelectasis,0.4573294303084891,0.99169921875,0.03658263
Atelectasis,0.4574324324324324,0.99169921875,0.03707379
Atelectasis,0.4575354809641811,0.99169921875,0.03719554
Atelectasis,0.45763857593510593,0.99169921875,0.037309602
Atelectasis,0.4577417173766058,0.99169921875,0.03733936
Atelectasis,0.4578449053201082,0.99169921875,0.037779048
Atelectasis,0.4579481397970688,0.99169921875,0.037868287
Atelectasis,0.4580514208389716,0.99169921875,0.03794151
Atelectasis,0.4581547484773291,0.99169921875,0.038227275
Atelectasis,0.45825812274368233,0.99169921875,0.038292997
Atelectasis,0.4583615436696005,0.99169921875,0.038398556
Atelectasis,0.4584650112866817,0.99169921875,0.038542885
Atelectasis,0.4583427410250621,0.9912109375,0.03857858
Atelectasis,0.458446251129178,0.9912109375,0.03861848
Atelectasis,0.45854980799638584,0.9912109375,0.038744174
Atelectasis,0.4586534116583823,0.9912109375,0.038776446
Atelectasis,0.45875706214689266,0.9912109375,0.038792673
Atelectasis,0.4588607594936709,0.9912109375,0.038854778
Atelectasis,0.4589645037304997,0.9912109375,0.038884845
Atelectasis,0.45906829488919043,0.9912109375,0.0390406
Atelectasis,0.4591721330015833,0.9912109375,0.03905351
Atelectasis,0.4592760180995475,0.9912109375,0.039369974
Atelectasis,0.4593799502149808,0.9912109375,0.039443143
Atelectasis,0.45948392937980986,0.9912109375,0.03958427
Atelectasis,0.4595879556259905,0.9912109375,0.03961863
Atelectasis,0.4594655797101449,0.99072265625,0.03971473
Atelectasis,0.45956964892412233,0.99072265625,0.039818525
Atelectasis,0.45944721341187134,0.990234375,0.039890643
Atelectasis,0.45955132562882395,0.990234375,0.039898213
Atelectasis,0.4594288304623753,0.98974609375,0.0400192
Atelectasis,0.4595329857175244,0.98974609375,0.040109336
Atelectasis,0.4594104308390023,0.9892578125,0.04019046
