pr,rc,threshold
Atelectasis,0.0885,1.0,0.00069311104
Atelectasis,0.08854427213606804,1.0,0.00124933
Atelectasis,0.08858858858858859,1.0,0.0014209513
Atelectasis,0.0886329494241362,1.0,0.0014770782
Atelectasis,0.08867735470941884,1.0,0.0022869438
Atelectasis,0.0887218045112782,1.0,0.0025407285
Atelectasis,0.08876629889669008,1.0,0.0031682842
Atelectasis,0.08881083793276467,1.0,0.0033626517
Atelectasis,0.08885542168674698,1.0,0.003426422
Atelectasis,0.08890005022601707,1.0,0.0034784917
Atelectasis,0.08894472361809046,1.0,0.0036319764
Atelectasis,0.0889894419306184,1.0,0.0036344028
Atelectasis,0.08903420523138833,1.0,0.0036620495
Atelectasis,0.08907901358832411,1.0,0.0037776818
Atelectasis,0.0891238670694864,1.0,0.0037918584
Atelectasis,0.08916876574307304,1.0,0.0038050807
Atelectasis,0.08921370967741936,1.0,0.0038078027
Atelectasis,0.08925869894099848,1.0,0.003961277
Atelectasis,0.08930373360242179,1.0,0.004143923
Atelectasis,0.08934881373043917,1.0,0.0044205496
Atelectasis,0.0893939393939394,1.0,0.0044365176
Atelectasis,0.08943911066195048,1.0,0.0046886234
Atelectasis,0.08948432760364004,1.0,0.0047330307
Atelectasis,0.08952959028831563,1.0,0.0047679357
Atelectasis,0.0895748987854251,1.0,0.0048256805
Atelectasis,0.08962025316455696,1.0,0.0048655313
Atelectasis,0.08966565349544073,1.0,0.005289084
Atelectasis,0.08971109984794728,1.0,0.005439038
Atelectasis,0.08975659229208925,1.0,0.0055442518
Atelectasis,0.0898021308980213,1.0,0.0055916538
Atelectasis,0.08984771573604061,1.0,0.0057336246
Atelectasis,0.0898933468765871,1.0,0.005909117
Atelectasis,0.0899390243902439,1.0,0.006149032
Atelectasis,0.08998474834773768,1.0,0.0062125926
Atelectasis,0.09003051881993897,1.0,0.00632293
Atelectasis,0.0900763358778626,1.0,0.006481824
Atelectasis,0.09012219959266803,1.0,0.0065217875
Atelectasis,0.09016811003565971,1.0,0.006597716
Atelectasis,0.09021406727828746,1.0,0.0066380915
Atelectasis,0.09026007139214687,1.0,0.0066485214
Atelectasis,0.09030612244897959,1.0,0.006708294
Atelectasis,0.0903522205206738,1.0,0.0067388257
Atelectasis,0.09039836567926456,1.0,0.0068089315
Atelectasis,0.09044455799693409,1.0,0.006882738
Atelectasis,0.09049079754601227,1.0,0.0068828007
Atelectasis,0.09053708439897698,1.0,0.006905394
Atelectasis,0.09058341862845445,1.0,0.0069079874
Atelectasis,0.09062980030721966,1.0,0.0070837997
Atelectasis,0.09067622950819672,1.0,0.007153945
Atelectasis,0.09072270630445925,1.0,0.007169051
Atelectasis,0.09076923076923077,1.0,0.007198527
Atelectasis,0.09081580297588507,1.0,0.0076155514
Atelectasis,0.09086242299794661,1.0,0.007685097
Atelectasis,0.09090909090909091,1.0,0.0077704787
Atelectasis,0.09095580678314491,1.0,0.008100889
Atelectasis,0.0910025706940874,1.0,0.008234063
Atelectasis,0.09104938271604938,1.0,0.008342205
Atelectasis,0.09109624292331446,1.0,0.008366407
Atelectasis,0.09114315139031925,1.0,0.008450784
