pr,rc,threshold
Atelectasis,0.0885,1.0,0.17908382
Atelectasis,0.08854427213606804,1.0,0.1795567
Atelectasis,0.08858858858858859,1.0,0.18811445
Atelectasis,0.0886329494241362,1.0,0.18961415
Atelectasis,0.08867735470941884,1.0,0.19593216
Atelectasis,0.0887218045112782,1.0,0.19693248
Atelectasis,0.08876629889669008,1.0,0.19733381
Atelectasis,0.08881083793276467,1.0,0.19949572
Atelectasis,0.08885542168674698,1.0,0.20021018
Atelectasis,0.08890005022601707,1.0,0.20173867
Atelectasis,0.08894472361809046,1.0,0.20348431
Atelectasis,0.0889894419306184,1.0,0.20390528
Atelectasis,0.08903420523138833,1.0,0.20409301
Atelectasis,0.08907901358832411,1.0,0.20498793
Atelectasis,0.0891238670694864,1.0,0.20514828
Atelectasis,0.08916876574307304,1.0,0.21665303
Atelectasis,0.08921370967741936,1.0,0.21816096
Atelectasis,0.08925869894099848,1.0,0.21878164
Atelectasis,0.08930373360242179,1.0,0.22012001
Atelectasis,0.08934881373043917,1.0,0.22085322
Atelectasis,0.0893939393939394,1.0,0.2221637
Atelectasis,0.08943911066195048,1.0,0.22226457
Atelectasis,0.08948432760364004,1.0,0.2227864
Atelectasis,0.08952959028831563,1.0,0.22427188
Atelectasis,0.0895748987854251,1.0,0.22570845
Atelectasis,0.08962025316455696,1.0,0.22658432
Atelectasis,0.08966565349544073,1.0,0.22826284
Atelectasis,0.08971109984794728,1.0,0.2299172
Atelectasis,0.08975659229208925,1.0,0.23140602
Atelectasis,0.0898021308980213,1.0,0.2314513
Atelectasis,0.08934010152284264,0.9943502824858758,0.23150383
Atelectasis,0.0893854748603352,0.9943502824858758,0.23251224
Atelectasis,0.08943089430894309,0.9943502824858758,0.23286377
Atelectasis,0.08947635993899339,0.9943502824858758,0.23337764
Atelectasis,0.08952187182095625,0.9943502824858758,0.23362286
Atelectasis,0.08956743002544529,0.9943502824858758,0.23433349
Atelectasis,0.08961303462321792,0.9943502824858758,0.23495474
Atelectasis,0.08965868568517575,0.9943502824858758,0.23551683
Atelectasis,0.08970438328236494,0.9943502824858758,0.2362812
Atelectasis,0.08975012748597654,0.9943502824858758,0.24012199
Atelectasis,0.08979591836734693,0.9943502824858758,0.24218997
Atelectasis,0.08984175599795814,0.9943502824858758,0.24322115
Atelectasis,0.0898876404494382,0.9943502824858758,0.24388854
