pr,rc,threshold
Atelectasis,0.0885,1.0,0.004160646
Atelectasis,0.08854427213606804,1.0,0.008746728
Atelectasis,0.08858858858858859,1.0,0.009385128
Atelectasis,0.0886329494241362,1.0,0.009473653
Atelectasis,0.08867735470941884,1.0,0.009642482
Atelectasis,0.0887218045112782,1.0,0.0097992625
Atelectasis,0.08876629889669008,1.0,0.01003296
Atelectasis,0.08881083793276467,1.0,0.010043954
Atelectasis,0.08885542168674698,1.0,0.010072296
Atelectasis,0.08890005022601707,1.0,0.011525378
Atelectasis,0.08894472361809046,1.0,0.011532494
Atelectasis,0.0889894419306184,1.0,0.011570212
Atelectasis,0.08903420523138833,1.0,0.011692122
Atelectasis,0.08907901358832411,1.0,0.011805201
Atelectasis,0.0891238670694864,1.0,0.011856764
Atelectasis,0.08916876574307304,1.0,0.011882729
Atelectasis,0.08921370967741936,1.0,0.012030176
Atelectasis,0.08925869894099848,1.0,0.012437376
Atelectasis,0.08930373360242179,1.0,0.01249083
Atelectasis,0.08934881373043917,1.0,0.012555765
Atelectasis,0.0893939393939394,1.0,0.012556364
Atelectasis,0.08943911066195048,1.0,0.012606181
Atelectasis,0.08948432760364004,1.0,0.012789018
Atelectasis,0.08952959028831563,1.0,0.013001319
Atelectasis,0.0895748987854251,1.0,0.013395299
Atelectasis,0.08962025316455696,1.0,0.01346288
Atelectasis,0.08966565349544073,1.0,0.013618141
Atelectasis,0.08971109984794728,1.0,0.0139455395
Atelectasis,0.08975659229208925,1.0,0.013963818
Atelectasis,0.0898021308980213,1.0,0.014127269
Atelectasis,0.08984771573604061,1.0,0.014355203
Atelectasis,0.0898933468765871,1.0,0.014472854
Atelectasis,0.0899390243902439,1.0,0.01449552
Atelectasis,0.08998474834773768,1.0,0.014544142
Atelectasis,0.09003051881993897,1.0,0.014603035
Atelectasis,0.0900763358778626,1.0,0.014732697
Atelectasis,0.09012219959266803,1.0,0.014811229
Atelectasis,0.09016811003565971,1.0,0.014880418
Atelectasis,0.09021406727828746,1.0,0.014955245
Atelectasis,0.09026007139214687,1.0,0.015099501
Atelectasis,0.09030612244897959,1.0,0.015157774
Atelectasis,0.0903522205206738,1.0,0.015229547
Atelectasis,0.09039836567926456,1.0,0.015414108
Atelectasis,0.09044455799693409,1.0,0.015535398
Atelectasis,0.09049079754601227,1.0,0.015843907
Atelectasis,0.09053708439897698,1.0,0.015975874
Atelectasis,0.09058341862845445,1.0,0.016305486
Atelectasis,0.09062980030721966,1.0,0.016311117
Atelectasis,0.09067622950819672,1.0,0.016373562
Atelectasis,0.09072270630445925,1.0,0.016429612
Atelectasis,0.09076923076923077,1.0,0.016476821
Atelectasis,0.09081580297588507,1.0,0.016634936
Atelectasis,0.09086242299794661,1.0,0.016638586
Atelectasis,0.09090909090909091,1.0,0.016727889
Atelectasis,0.09095580678314491,1.0,0.016836308
Atelectasis,0.0910025706940874,1.0,0.016842289
Atelectasis,0.09104938271604938,1.0,0.016844258
Atelectasis,0.09109624292331446,1.0,0.0169646
Atelectasis,0.09114315139031925,1.0,0.017088955
Atelectasis,0.09119010819165378,1.0,0.017200645
Atelectasis,0.09123711340206185,1.0,0.017238272
Atelectasis,0.09128416709644147,1.0,0.017308105
Atelectasis,0.0913312693498452,1.0,0.017319532
Atelectasis,0.09137842023748063,1.0,0.01759047
Atelectasis,0.09142561983471074,1.0,0.017640676
Atelectasis,0.09147286821705426,1.0,0.01775848
Atelectasis,0.09152016546018614,1.0,0.01812328
Atelectasis,0.09156751163993793,1.0,0.01821834
Atelectasis,0.09161490683229814,1.0,0.018237375
Atelectasis,0.09166235111341274,1.0,0.018308768
Atelectasis,0.09170984455958549,1.0,0.018342195
Atelectasis,0.09175738724727839,1.0,0.018492253
Atelectasis,0.09180497925311204,1.0,0.018574258
Atelectasis,0.09185262065386611,1.0,0.0187052
Atelectasis,0.09190031152647975,1.0,0.018729132
Atelectasis,0.09194805194805195,1.0,0.01877635
Atelectasis,0.091995841995842,1.0,0.018838467
Atelectasis,0.09204368174726989,1.0,0.018843414
Atelectasis,0.09209157127991675,1.0,0.018854221
Atelectasis,0.09213951067152525,1.0,0.01889417
Atelectasis,0.0921875,1.0,0.018896393
Atelectasis,0.09223553934340803,1.0,0.018978648
