pr,rc,threshold
Atelectasis,0.0885,1.0,0.004519199
Atelectasis,0.08854427213606804,1.0,0.0051256437
Atelectasis,0.08858858858858859,1.0,0.0072135753
Atelectasis,0.0886329494241362,1.0,0.007560565
Atelectasis,0.08867735470941884,1.0,0.008227094
Atelectasis,0.0887218045112782,1.0,0.008285026
Atelectasis,0.08876629889669008,1.0,0.008591695
Atelectasis,0.08881083793276467,1.0,0.008693499
Atelectasis,0.08885542168674698,1.0,0.008706046
Atelectasis,0.08890005022601707,1.0,0.008839669
Atelectasis,0.08894472361809046,1.0,0.009214669
Atelectasis,0.0889894419306184,1.0,0.009246488
Atelectasis,0.08903420523138833,1.0,0.009323784
Atelectasis,0.08907901358832411,1.0,0.009529041
Atelectasis,0.0891238670694864,1.0,0.009711421
Atelectasis,0.08916876574307304,1.0,0.009743058
Atelectasis,0.08921370967741936,1.0,0.010438385
Atelectasis,0.08925869894099848,1.0,0.010526832
Atelectasis,0.08930373360242179,1.0,0.011013946
Atelectasis,0.08934881373043917,1.0,0.011205507
Atelectasis,0.0893939393939394,1.0,0.011385811
Atelectasis,0.08943911066195048,1.0,0.011530809
Atelectasis,0.08948432760364004,1.0,0.011555413
Atelectasis,0.08952959028831563,1.0,0.011569834
Atelectasis,0.0895748987854251,1.0,0.011579
Atelectasis,0.08962025316455696,1.0,0.011613904
Atelectasis,0.08966565349544073,1.0,0.011712438
Atelectasis,0.08971109984794728,1.0,0.011766959
Atelectasis,0.08975659229208925,1.0,0.011912609
Atelectasis,0.0898021308980213,1.0,0.011927589
Atelectasis,0.08984771573604061,1.0,0.0119284345
Atelectasis,0.0898933468765871,1.0,0.012091431
Atelectasis,0.0899390243902439,1.0,0.012098504
Atelectasis,0.08998474834773768,1.0,0.012113957
Atelectasis,0.09003051881993897,1.0,0.012141695
Atelectasis,0.0900763358778626,1.0,0.012182611
Atelectasis,0.09012219959266803,1.0,0.012300363
Atelectasis,0.09016811003565971,1.0,0.012691917
Atelectasis,0.09021406727828746,1.0,0.012739526
Atelectasis,0.09026007139214687,1.0,0.01276626
Atelectasis,0.09030612244897959,1.0,0.01280555
Atelectasis,0.0903522205206738,1.0,0.012955922
Atelectasis,0.0898876404494382,0.9943502824858758,0.013050452
Atelectasis,0.08993357179356157,0.9943502824858758,0.013137755
Atelectasis,0.08997955010224949,0.9943502824858758,0.013213695
