label,fpr,tpr,threshold
Atelectasis,0.0,0.0,1.732503
Atelectasis,0.0005485463521667581,0.0,0.73250306
Atelectasis,0.0021941854086670325,0.0,0.72269154
Atelectasis,0.0021941854086670325,0.005649717514124294,0.7208328
Atelectasis,0.008228195282501372,0.005649717514124294,0.7105511
Atelectasis,0.008228195282501372,0.011299435028248588,0.7104623
Atelectasis,0.010422380691168404,0.011299435028248588,0.7087705
Atelectasis,0.010422380691168404,0.01694915254237288,0.70835
Atelectasis,0.014810751508502468,0.01694915254237288,0.7034544
Atelectasis,0.014810751508502468,0.022598870056497175,0.70254606
Atelectasis,0.024684585847504114,0.022598870056497175,0.6933306
Atelectasis,0.024684585847504114,0.02824858757062147,0.69323266
Atelectasis,0.026878771256171146,0.02824858757062147,0.69207424
Atelectasis,0.026878771256171146,0.03954802259887006,0.691781
Atelectasis,0.03291278113000549,0.03954802259887006,0.6886718
Atelectasis,0.03291278113000549,0.04519774011299435,0.68851197
Atelectasis,0.033461327482172246,0.04519774011299435,0.6882603
Atelectasis,0.033461327482172246,0.05084745762711865,0.6881963
Atelectasis,0.03565551289083928,0.05084745762711865,0.6867747
Atelectasis,0.03565551289083928,0.062146892655367235,0.68667173
Atelectasis,0.04004388370817334,0.062146892655367235,0.6838189
Atelectasis,0.04004388370817334,0.06779661016949153,0.68351185
Atelectasis,0.049917718047174986,0.06779661016949153,0.6797145
Atelectasis,0.049917718047174986,0.07344632768361582,0.6797066
Atelectasis,0.05211190345584202,0.07344632768361582,0.6782409
Atelectasis,0.05211190345584202,0.07909604519774012,0.67818165
Atelectasis,0.05375754251234229,0.07909604519774012,0.67763025
Atelectasis,0.05375754251234229,0.0847457627118644,0.67758834
Atelectasis,0.055951727921009324,0.0847457627118644,0.6761629
Atelectasis,0.055951727921009324,0.0903954802259887,0.6760858
Atelectasis,0.07569939659901262,0.0903954802259887,0.6682613
Atelectasis,0.07569939659901262,0.096045197740113,0.66818273
Atelectasis,0.08008776741634668,0.096045197740113,0.66681755
Atelectasis,0.08008776741634668,0.10734463276836158,0.66565436
Atelectasis,0.08612177729018101,0.10734463276836158,0.6636819
Atelectasis,0.08612177729018101,0.11299435028248588,0.663664
Atelectasis,0.0916072408118486,0.11299435028248588,0.66097164
Atelectasis,0.0916072408118486,0.11864406779661017,0.6608434
Atelectasis,0.09709270433351619,0.11864406779661017,0.65777427
Atelectasis,0.09709270433351619,0.12429378531073447,0.6577456
Atelectasis,0.10422380691168404,0.12429378531073447,0.65543455
Atelectasis,0.10422380691168404,0.12994350282485875,0.6553817
Atelectasis,0.10806363137685135,0.12994350282485875,0.65394354
Atelectasis,0.10806363137685135,0.13559322033898305,0.65389365
Atelectasis,0.11025781678551838,0.13559322033898305,0.65305537
Atelectasis,0.11025781678551838,0.14124293785310735,0.6526858
Atelectasis,0.1113549094898519,0.14124293785310735,0.6525298
Atelectasis,0.1113549094898519,0.14689265536723164,0.65192217
Atelectasis,0.11354909489851893,0.14689265536723164,0.651392
Atelectasis,0.11354909489851893,0.15254237288135594,0.6513838
Atelectasis,0.11464618760285245,0.15254237288135594,0.6513126
Atelectasis,0.11464618760285245,0.1638418079096045,0.65042776
Atelectasis,0.11574328030718596,0.1638418079096045,0.6494608
Atelectasis,0.11574328030718596,0.1694915254237288,0.6492526
Atelectasis,0.12287438288535381,0.1694915254237288,0.6470495
Atelectasis,0.12287438288535381,0.1751412429378531,0.6466805
Atelectasis,0.12506856829402085,0.1751412429378531,0.6461906
Atelectasis,0.12506856829402085,0.1807909604519774,0.6458218
Atelectasis,0.13055403181568842,0.1807909604519774,0.64369917
Atelectasis,0.13055403181568842,0.1864406779661017,0.6434806
Atelectasis,0.14097641250685683,0.1864406779661017,0.63898873
Atelectasis,0.14097641250685683,0.192090395480226,0.6387608
Atelectasis,0.1426220515633571,0.192090395480226,0.63787323
Atelectasis,0.1426220515633571,0.1977401129943503,0.637744
Atelectasis,0.14646187602852442,0.1977401129943503,0.63601434
Atelectasis,0.14646187602852442,0.2033898305084746,0.63575834
Atelectasis,0.14701042238069117,0.2033898305084746,0.6357364
Atelectasis,0.14701042238069117,0.20903954802259886,0.6354973
Atelectasis,0.14865606143719146,0.20903954802259886,0.63495415
Atelectasis,0.14865606143719146,0.21468926553672316,0.63491124
Atelectasis,0.1508502468458585,0.21468926553672316,0.6328232
Atelectasis,0.1508502468458585,0.22598870056497175,0.63258076
Atelectasis,0.15139879319802524,0.22598870056497175,0.6325397
Atelectasis,0.15139879319802524,0.23163841807909605,0.63251245
Atelectasis,0.1568842567196928,0.23163841807909605,0.63079524
Atelectasis,0.1568842567196928,0.23728813559322035,0.6306088
Atelectasis,0.16675809105869446,0.23728813559322035,0.62650687
Atelectasis,0.16675809105869446,0.24293785310734464,0.6259938
Atelectasis,0.185957213384531,0.24293785310734464,0.61744875
Atelectasis,0.185957213384531,0.24858757062146894,0.61736786
Atelectasis,0.1936368623148656,0.24858757062146894,0.6150117
Atelectasis,0.1936368623148656,0.2542372881355932,0.61485726
Atelectasis,0.19802523313219966,0.2542372881355932,0.61354554
Atelectasis,0.19802523313219966,0.2598870056497175,0.6135092
Atelectasis,0.20076796489303347,0.2598870056497175,0.6121464
Atelectasis,0.20076796489303347,0.2655367231638418,0.61197597
Atelectasis,0.21009325287986835,0.2655367231638418,0.60768783
Atelectasis,0.21009325287986835,0.2768361581920904,0.6074893
Atelectasis,0.21119034558420186,0.2768361581920904,0.6066432
Atelectasis,0.21119034558420186,0.2824858757062147,0.60634947
